id,job,error
8.0,,Null or empty value in column 'job'
,104.0,Null or empty value in column 'id'
3.0,,Null or empty value in column 'job'
,84.0,Null or empty value in column 'id'
,67.0,Null or empty value in column 'id'
,49.0,Null or empty value in column 'id'
5.0,,Null or empty value in column 'job'
,66.0,Null or empty value in column 'id'
,87.0,Null or empty value in column 'id'
6.0,,Null or empty value in column 'job'
3.0,,Null or empty value in column 'job'
,92.0,Null or empty value in column 'id'
8.0,,Null or empty value in column 'job'
10.0,,Null or empty value in column 'job'
,64.0,Null or empty value in column 'id'
,122.0,Null or empty value in column 'id'
8.0,,Null or empty value in column 'job'
,64.0,Null or empty value in column 'id'
9.0,,Null or empty value in column 'job'
8.0,,Null or empty value in column 'job'
,77.0,Null or empty value in column 'id'
,112.0,Null or empty value in column 'id'
,38.0,Null or empty value in column 'id'
8.0,,Null or empty value in column 'job'
,103.0,Null or empty value in column 'id'
,108.0,Null or empty value in column 'id'
,98.0,Null or empty value in column 'id'
,50.0,Null or empty value in column 'id'
7.0,,Null or empty value in column 'job'
7.0,,Null or empty value in column 'job'
3.0,,Null or empty value in column 'job'
11.0,,Null or empty value in column 'job'
,85.0,Null or empty value in column 'id'
,143.0,Null or empty value in column 'id'
,70.0,Null or empty value in column 'id'
4.0,,Null or empty value in column 'job'
,102.0,Null or empty value in column 'id'
